employee_id,institution_name,institution_type,job_title,job_category,department,salary,hire_date,employment_type,years_of_experience,education_level,location
41,Columbia University,Private,Professor,Faculty,Engineering,205000.00,2010-09-01,Full-Time,21,Doctorate,New York NY
42,Columbia University,Private,Associate Professor,Faculty,Engineering,158000.00,2016-08-20,Full-Time,11,Doctorate,New York NY
43,Columbia University,Private,Assistant Professor,Faculty,Engineering,138000.00,2020-09-01,Full-Time,5,Doctorate,New York NY
44,Columbia University,Private,Department Chair,Administrative,Engineering,230000.00,2008-07-01,Full-Time,24,Doctorate,New York NY
45,Columbia University,Private,Lecturer,Faculty,Engineering,108000.00,2018-01-15,Full-Time,7,Master,New York NY
46,Columbia University,Private,Registrar,Administrative,Academic Affairs,105000.00,2015-05-01,Full-Time,13,Master,New York NY
47,Columbia University,Private,Financial Aid Director,Administrative,Student Services,125000.00,2013-09-01,Full-Time,16,Master,New York NY
48,UCLA,Public,Professor,Faculty,Biology,172000.00,2013-08-15,Full-Time,17,Doctorate,Los Angeles CA
49,UCLA,Public,Professor,Faculty,Biology,178000.00,2011-09-01,Full-Time,19,Doctorate,Los Angeles CA
50,UCLA,Public,Associate Professor,Faculty,Biology,132000.00,2017-08-20,Full-Time,9,Doctorate,Los Angeles CA
51,UCLA,Public,Assistant Professor,Faculty,Biology,112000.00,2021-09-01,Full-Time,3,Doctorate,Los Angeles CA
52,UCLA,Public,Lecturer,Faculty,Biology,82000.00,2019-01-15,Full-Time,5,Master,Los Angeles CA
53,UCLA,Public,Department Chair,Administrative,Biology,192000.00,2009-07-01,Full-Time,21,Doctorate,Los Angeles CA
54,UCLA,Public,Registrar,Administrative,Academic Affairs,90000.00,2016-06-01,Full-Time,11,Master,Los Angeles CA
55,UCLA,Public,Financial Aid Director,Administrative,Student Services,108000.00,2014-08-01,Full-Time,14,Master,Los Angeles CA
